Quarter,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Avg
Q4 2022,,,,,,,,
Q1 2023,83.54545454545455,73.58333333333333,83.5,84.76923076923077,82.07692307692308,79.54545454545455,80.83333333333333,81.12196137196138
Q2 2023,74.92307692307692,80.92307692307692,78.76923076923077,81.92307692307692,83.6923076923077,78.0,83.15384615384616,80.19780219780219
Q3 2023,78.92307692307692,82.16666666666667,82.46153846153847,82.76923076923077,87.6923076923077,83.21428571428571,80.41666666666667,82.5205389848247
Q4 2023,82.07692307692308,86.38461538461539,82.6923076923077,78.3076923076923,82.15384615384616,84.53846153846153,78.23076923076923,82.05494505494507
Q1 2024,79.3076923076923,85.0,79.53846153846153,82.23076923076923,79.61538461538461,83.07692307692308,84.07692307692308,81.83516483516485
Q2 2024,83.61538461538461,83.6923076923077,83.76923076923077,79.23076923076923,82.61538461538461,80.07692307692308,80.46153846153847,81.92307692307692
Q3 2024,82.85714285714286,83.38461538461539,82.76923076923077,79.46153846153847,76.61538461538461,76.46153846153847,81.66666666666667,80.45944531658816
Q4 2024,82.84615384615384,81.64285714285714,85.6923076923077,79.3076923076923,79.0,81.38461538461539,82.33333333333333,81.74385138670854
Q1 2025,83.84615384615384,86.0,82.76923076923077,79.46153846153847,87.15384615384616,84.46153846153847,82.23076923076923,83.7032967032967
Q2 2025,82.76923076923077,75.23076923076923,78.92307692307692,85.92307692307692,80.66666666666667,75.46153846153847,82.3076923076923,80.18315018315018
Q3 2025,80.6923076923077,84.85714285714286,84.76923076923077,80.38461538461539,82.46153846153847,78.07692307692308,83.0,82.03453689167975
Q4 2025,76.84615384615384,85.84615384615384,83.28571428571429,77.15384615384616,78.07692307692308,83.6923076923077,79.23076923076923,80.59026687598116
Q1 2026,79.3076923076923,78.53846153846153,76.08333333333333,78.07692307692308,82.53846153846153,78.53846153846153,83.07692307692308,79.45146520146521
