year,month,average_active_calories,count,std_dev
2019,7,2780.0,6,270.39662226687176
2019,8,2727.516129032258,31,326.75796221192
2019,9,2756.866666666667,30,453.68643601304876
2019,10,2615.8064516129034,31,360.04958613294605
2019,11,2623.0333333333333,30,384.62583405463323
2019,12,2655.516129032258,31,497.59439830420644
2020,1,2461.0,31,241.55076939134014
2020,2,2536.5172413793102,29,249.5250136987383
2020,3,2448.8709677419356,31,283.2666294336069
2020,4,2464.3,30,248.52500209569794
2020,5,2442.3870967741937,31,351.0030491016682
2020,6,2545.9666666666667,30,388.0263292899365
2020,7,2462.9333333333334,30,628.6443050105697
2020,8,2697.5833333333335,24,527.0520939359052
2020,9,2965.6521739130435,23,906.4310620898651
2020,10,2624.064516129032,31,451.9974261619461
2020,11,2652.266666666667,30,516.358979350176
2020,12,2852.3548387096776,31,924.2782903219452
2021,1,2734.967741935484,31,680.2606940450426
2021,2,2796.464285714286,28,604.3061831639686
2021,3,2328.0,31,194.1559067580285
2021,4,2494.366666666667,30,261.2584267646798
2021,5,2504.064516129032,31,294.9363994298378
2021,6,2433.4333333333334,30,350.5978402037804
2021,7,2386.2258064516127,31,228.0825698927162
2021,8,2539.9032258064517,31,274.7333434252096
2021,9,3004.0,30,626.5019287014738
2021,10,2815.032258064516,31,575.8342886557515
2021,11,2809.6666666666665,30,449.05146945781416
2021,12,3196.8387096774195,31,641.043056113927
2022,1,2912.7096774193546,31,707.4593431176183
2022,2,2732.785714285714,28,304.73986062387905
2022,3,2722.8387096774195,31,383.80363735893377
2022,4,2646.3333333333335,30,357.9603640380066
2022,5,2738.451612903226,31,236.50081343509805
2022,6,2999.8,30,613.2845669018584
2022,7,2852.8387096774195,31,508.72573869545687
2022,8,2756.8709677419356,31,314.321054474816
2022,9,2818.2,30,365.3209000317392
2022,10,2872.9032258064517,31,409.9585624094464
2022,11,2704.4666666666667,30,292.18586930620415
2022,12,2792.5806451612902,31,552.5147070991632
2023,1,2802.064516129032,31,474.67244634752086
2023,2,2795.4285714285716,28,462.6630545448992
2023,3,2837.0967741935483,31,419.7172131588747
2023,4,2937.8,30,535.1498481733878
2023,5,2986.8709677419356,31,436.43118231751436
2023,6,2881.2,30,496.58838756727556
2023,7,3026.5806451612902,31,536.9478724139861
2023,8,2817.8709677419356,31,465.17792239067904
2023,9,2888.8333333333335,30,674.9860780457294
2023,10,2690.483870967742,31,593.1164750415055
2023,11,2685.133333333333,30,501.4283420611785
2023,12,2777.516129032258,31,392.2052516441789
2024,1,2863.4193548387098,31,530.5761186577345
2024,2,2924.655172413793,29,619.8821509722117
2024,3,2807.1612903225805,31,579.1555641913656
2024,4,2778.9666666666667,30,518.6953173320752
2024,5,2831.1290322580644,31,535.7067530712677
2024,6,2874.5,30,540.5826948765564
2024,7,2811.6451612903224,31,549.5265145727932
2024,8,3074.064516129032,31,682.0967642773782
2024,9,2826.5666666666666,30,641.7408970050833
2024,10,3086.1935483870966,31,556.2296125646858
2024,11,3208.0,30,637.9041202772299
2024,12,2711.3870967741937,31,347.96001600289156
2025,1,2822.935483870968,31,501.2068619026621
2025,2,3131.25,28,392.880536641138
2025,3,3142.7741935483873,31,466.3275679437681
2025,4,2880.5666666666666,30,437.6518923629702
2025,5,3093.064516129032,31,522.6050711137409
2025,6,3165.6,30,587.1863190958501
2025,7,2966.4193548387098,31,579.8193141356581
2025,8,2973.7419354838707,31,589.2908240743185
2025,9,2882.0588235294117,17,730.5671020908616
