year,month,average_resting_hr,count,std_dev
2019,7,57.5,6,3.9895697345286076
2019,8,58.38709677419355,31,2.4974492710768916
2019,9,59.13333333333333,30,1.7074997966487597
2019,10,58.41935483870968,31,1.7739002690151642
2019,11,57.766666666666666,30,1.9947152400502906
2019,12,59.516129032258064,31,2.525623113685598
2020,1,57.4,30,2.4440403706431146
2020,2,57.06896551724138,29,2.3183084570995325
2020,3,58.41935483870968,31,2.044255421645788
2020,4,59.96666666666667,30,2.5623340054636814
2020,5,60.38709677419355,31,3.0233224551896725
2020,6,62.86666666666667,30,2.717024516308644
2020,7,62.6,30,3.5552777669262356
2020,8,60.125,24,2.521780125229002
2020,9,58.04347826086956,23,3.532190610711287
2020,10,58.0,31,2.4626238301925567
2020,11,58.9,30,2.6627053911388696
2020,12,58.12903225806452,31,2.5995276926330035
2021,1,58.29032258064516,31,3.4378683229028923
2021,2,54.964285714285715,28,1.591992077715905
2021,3,59.333333333333336,30,4.369083300749585
2021,4,62.6,30,2.430363484474425
2021,5,61.12903225806452,31,2.0594696386467573
2021,6,63.36666666666667,30,2.2283526551144357
2021,7,62.774193548387096,31,2.599127364965637
2021,8,60.225806451612904,31,2.43243774471082
2021,9,57.2,30,1.5143755588800734
2021,10,56.0,31,1.7597653802562394
2021,11,57.7,30,1.934769581457527
2021,12,59.61290322580645,31,2.6479135956427267
2022,1,62.41935483870968,31,3.38663591334725
2022,2,63.714285714285715,28,3.0572763655761
2022,3,57.54838709677419,31,2.9603695244215427
2022,4,63.233333333333334,30,3.630273941300972
2022,5,63.354838709677416,31,2.321684414896333
2022,6,64.13333333333334,30,3.3737549143679986
2022,7,62.774193548387096,31,3.8580429387680137
2022,8,57.483870967741936,31,3.950263100604292
2022,9,55.1,30,1.6603212540549699
2022,10,55.38709677419355,31,1.860929690562059
2022,11,54.233333333333334,30,1.6468825769380833
2022,12,54.225806451612904,31,1.9127699458546576
2023,1,53.58064516129032,31,2.240020068291254
2023,2,52.17857142857143,28,1.4893328187137886
2023,3,51.29032258064516,31,1.610320512819185
2023,4,52.733333333333334,30,1.50406855635713
2023,5,54.354838709677416,31,1.5973443100825735
2023,6,53.8,30,2.0066555924389884
2023,7,52.645161290322584,31,1.9268625191055582
2023,8,51.774193548387096,31,1.9127699458546576
2023,9,52.03333333333333,30,1.779200819344336
2023,10,52.61290322580645,31,1.8952813963314041
2023,11,53.333333333333336,30,1.4220486005134363
2023,12,52.87096774193548,31,1.8620477018918464
2024,1,49.935483870967744,31,1.794893902354007
2024,2,49.96551724137931,29,1.5862068965517242
2024,3,51.74193548387097,31,1.759173961862707
2024,4,51.266666666666666,30,1.5902480589168748
2024,5,52.193548387096776,31,1.3300340727798905
2024,6,52.06666666666667,30,1.364632632697248
2024,7,54.225806451612904,31,1.4747263807306403
2024,8,52.25806451612903,31,1.6257552475295678
2024,9,52.833333333333336,30,2.4910952522044507
2024,10,52.25806451612903,31,2.078581121753163
2024,11,50.3,30,1.4866068747318506
2024,12,53.354838709677416,31,2.5721634811934933
2025,1,53.225806451612904,31,2.33776399122496
2025,2,49.607142857142854,28,1.472104560394639
2025,3,49.29032258064516,31,1.3956972679215442
2025,4,50.1,30,2.2561028345356955
2025,5,52.29032258064516,31,1.463393060930807
2025,6,52.53333333333333,30,1.6878651868229553
2025,7,50.54838709677419,31,1.964831268753685
2025,8,50.354838709677416,31,2.3901462648829295
2025,9,50.77272727272727,22,1.6495679374203684
