year,month,average_sleep_score,count,std_dev
2023,2,82.1923076923077,26,9.335701657818067
2023,3,82.41935483870968,31,6.504460968211949
2023,4,79.13333333333334,30,9.92214134594387
2023,5,79.0,31,10.543305474213513
2023,6,82.5,30,9.160604055774197
2023,7,82.96666666666667,30,6.843407208563744
2023,8,81.64516129032258,31,8.536632210076435
2023,9,83.10344827586206,29,6.05346767299655
2023,10,82.83333333333333,30,11.529912787566474
2023,11,80.33333333333333,30,9.30352382463524
2023,12,82.96774193548387,31,7.5155059966056585
2024,1,81.80645161290323,31,8.471658080609455
2024,2,83.24137931034483,29,8.148006620677625
2024,3,80.54838709677419,31,9.394022497783672
2024,4,81.33333333333333,30,11.222992272810115
2024,5,84.0,31,7.841165153709105
2024,6,80.36666666666666,30,10.870398132338831
2024,7,83.16666666666667,30,7.416573033116816
2024,8,82.87096774193549,31,6.646570473821484
2024,9,75.3,30,15.52020188872125
2024,10,83.58064516129032,31,11.639128094903558
2024,11,84.72413793103448,29,4.600573815215976
2024,12,77.09677419354838,31,10.224432593168055
2025,1,79.74193548387096,31,15.414630130507634
2025,2,87.0,28,6.860862086606068
2025,3,84.61290322580645,31,6.292224691735024
2025,4,80.51724137931035,29,11.967256159045766
2025,5,78.16129032258064,31,12.567486915343325
2025,6,81.93333333333334,30,8.378278794332138
2025,7,81.54838709677419,31,8.276818422860005
2025,8,83.06451612903226,31,8.319954574437748
2025,9,80.9090909090909,22,10.268703958715312
