week_end,intensity_minutes
2025-01-05,354
2025-01-12,650
2025-01-19,428
2025-01-26,1076
2025-02-02,1050
2025-02-09,1240
2025-02-16,1095
2025-02-23,1217
2025-03-02,1071
2025-03-09,1407
2025-03-16,900
2025-03-23,979
2025-03-30,1243
2025-04-06,818
2025-04-13,600
2025-04-20,848
2025-04-27,686
2025-05-04,600
2025-05-11,1133
2025-05-18,1022
2025-05-25,1177
2025-06-01,788
2025-06-08,1176
2025-06-15,527
2025-06-22,1271
2025-06-29,1015
2025-07-06,996
2025-07-13,489
2025-07-20,1165
2025-07-27,804
2025-08-03,1085
2025-08-10,917
2025-08-17,896
2025-08-24,353
2025-08-31,1049
2025-09-07,888
2025-09-14,563
2025-09-21,508
